account_number,acct_name,cusip,asset_name,shares,market_value,
337133662,IQ Multi-Strat Hedge Fund,464288687,ISHARES U.S. PREFERRED STOCK ETF,309,11414,
337133662,IQ Multi-Strat Hedge Fund,464288620,ISHARES US CREDIT BOND ETF,12,1310,
337133662,IQ Multi-Strat Hedge Fund,464288661,ISHARES:3-7 TRS BD ETF,18,2165,
337133662,IQ Multi-Strat Hedge Fund,73936T573,POWERSHARES EMRG MKTS SOVRGN DBT ETF,67,1899,
337133662,IQ Multi-Strat Hedge Fund,73936Q769,POWERSHARES SENIOR LOAN ETF,342,7910,
337133662,IQ Multi-Strat Hedge Fund,74347R396,PROSHARES SHORT MSCI EMERGING ETF,640,11398,
337133662,IQ Multi-Strat Hedge Fund,74348A244,PROSHARES TRUST,32,1123,
337133662,IQ Multi-Strat Hedge Fund,74348A319,PROSHARES ULTRASHORT RUSSEL 2000 ETF,80,1465,
337133662,IQ Multi-Strat Hedge Fund,74347R370,PROSHARES:SHT MSCI EAFE,104,2673,
337133662,IQ Multi-Strat Hedge Fund,808524102,SCHWAB US BROAD MARKET ETF,13,832,
337133662,IQ Multi-Strat Hedge Fund,81369Y605,SELECT STR FINANCIAL SELECT SPDR ETF,184,5165,
337133662,IQ Multi-Strat Hedge Fund,78467V608,SPDR BLACKSTONE GSO SENIOR LOAN ETF,54,2558,
337133662,IQ Multi-Strat Hedge Fund,78468R663,SPDR BLMBRG BRCLY 1 3 MNTH T ETF,42,3841,
337133662,IQ Multi-Strat Hedge Fund,78464A797,SPDR S&P BANK ETF,12,581,
337133662,IQ Multi-Strat Hedge Fund,78463X756,SPDR S&P EMERGING MRKT SML CP ETF,98,5032,
337133662,IQ Multi-Strat Hedge Fund,78463X871,SPDR S&P INTERNATIONAL SMALL CAP ETF,24,837,
337133662,IQ Multi-Strat Hedge Fund,81369Y803,TECHNOLOGY SELECT SECTOR SPDR ETF,25,1617,
337133662,IQ Multi-Strat Hedge Fund,92189F494,VANECK VCTR J P MORGN LCL BND ETF,164,3167,
337133662,IQ Multi-Strat Hedge Fund,92189F361,VANECK VECTR HG YLD MCPL INDX ETF,17,525,
337133662,IQ Multi-Strat Hedge Fund,922042866,VANGUARD FTSE PACIFIC ETF,17,1224,
337133662,IQ Multi-Strat Hedge Fund,92206C771,VANGUARD MORTGAGE BACKED SEC ETF,17,873,
337133662,IQ Multi-Strat Hedge Fund,921937827,VANGUARD SHORT-TERM BOND ETF,662,51980,
337133662,IQ Multi-Strat Hedge Fund,922020805,VANGUARD SHRT INF PROT SEC INDEX ETF,36,1747,
337133662,IQ Multi-Strat Hedge Fund,922908595,VANGUARD SMALL CAP GROWTH ETF,12,1894,
337133662,IQ Multi-Strat Hedge Fund,922908769,VANGUARD TOTAL STOCK MARKET ETF,49,6665,
337133662,IQ Multi-Strat Hedge Fund,922042718,VGRD FTSE ALL WRLD EX US SML CAP ETF,37,4337,
337133662,IQ Multi-Strat Hedge Fund,233051200,XTRACKERS MSCI EAFE HDGD EQY ETF,306,9413,
337133662,IQ Multi-Strat Hedge Fund,233051853,XTRACKERS MSCI EURPE HDGD EQY ETF,90,2471,
337133662,IQ Multi-Strat Hedge Fund,233051507,XTRACKERS MSCI JAP HDGD EQY ETF,48,2053,
337143608,BlackRock High Yield,091929638,BLACKROCK:HY BD;I,26834,205551,
