account_number,asset_name,cusip,shares,market_value
HJ01,2U INC COMMON STOCK USD.001,90214J101,5304,462986
HJ01,ACACIA COMMUNICATIONS INC COMMON STOCK USD.0001,00401C108,10494,268332
HJ01,ACADIA HEALTHCARE CO INC COMMON STOCK USD.01,00404A109,20833,817695
HJ01,AGNICO EAGLE MINES LTD COMMON STOCK,'008474108,10372,471615
HJ01,AKAMAI TECHNOLOGIES INC COMMON STOCK USD.01,00971T101,6109,445041
HJ01,ALBEMARLE CORP COMMON STOCK USD.01,'012653101,4677,462041
HJ01,ALKERMES PLC COMMON STOCK USD.01,G01767105,487,22816
HJ01,ALLEGHENY TECHNOLOGIES INC COMMON STOCK USD.1,01741R102,60591,1592937
HJ01,ALLIANCE DATA SYSTEMS CORP COMMON STOCK USD.01,'018581108,1824,389625
HJ01,AMERICAN AIRLINES GROUP INC COMMON STOCK,02376R102,8546,408157
HJ01,AQUA METALS INC COMMON STOCK,03837J101,22886,59504
HJ01,ARTISAN PARTNERS ASSET MA  A COMMON STOCK USD.01,04316A108,13641,455609
HJ01,ASPEN INSURANCE HOLDINGS LTD COMMON STOCK USD.001514456,G05384105,11362,496519
HJ01,ASTRONICS CORP COMMON STOCK USD.01,'046433108,2742,107925
HJ01,BEACON ROOFING SUPPLY INC COMMON STOCK USD.01,'073685109,9351,489525
HJ01,BELDEN INC COMMON STOCK USD.01,'077454106,11371,795174
HJ01,BENEFITFOCUS INC COMMON STOCK USD.001,08180D106,17675,489598
HJ01,BERRY GLOBAL GROUP INC COMMON STOCK USD.01,08579W103,22059,1254275
HJ01,BMC STOCK HOLDINGS INC COMMON STOCK USD.01,05591B109,25807,489043
HJ01,BRIGHTCOVE COMMON STOCK USD.001,10921T101,67570,513532
HJ01,CAESARSTONE LTD COMMON STOCK,M20598104,12162,235943
HJ01,CARDIOVASCULAR SYSTEMS INC COMMON STOCK,'141619106,17247,400648
HJ01,CARDLYTICS INC COMMON STOCK,14161W105,2402,34084
HJ01,CAREER EDUCATION CORP COMMON STOCK USD.01,'141665109,44186,607116
HJ01,CARPENTER TECHNOLOGY COMMON STOCK USD5.0,'144285103,3291,168762
HJ01,CARRIZO OIL + GAS INC COMMON STOCK USD.01,'144577103,34891,646181
HJ01,CAVIUM INC COMMON STOCK USD.001,14964U108,2719,221734
HJ01,CENTURY COMMUNITIES INC COMMON STOCK USD.01,'156504300,821,25410
HJ01,COEUR MINING INC COMMON STOCK USD.01,'192108504,56358,484115
HJ01,COGENT COMMUNICATIONS HOLDIN COMMON STOCK USD.001,19239V302,23226,1131106
HJ01,CONTROL4 CORP COMMON STOCK USD.0001,21240D107,8782,192238
HJ01,COOPER COS INC/THE COMMON STOCK USD.1,'216648402,5089,1155152
HJ01,CORPORATE OFFICE PROPERTIES REIT USD.01,22002T108,7793,212203
HJ01,CREE INC COMMON STOCK USD.00125,'225447101,13685,563822
HJ01,CYPRESS SEMICONDUCTOR CORP COMMON STOCK USD.01,'232806109,31420,543252
HJ01,DANA INC COMMON STOCK USD.01,'235825205,9893,263154
HJ01,DARLING INGREDIENTS INC COMMON STOCK USD.01,'237266101,8301,143939
HJ01,DEXCOM INC COMMON STOCK USD.001,'252131107,9533,700676
HJ01,DIPLOMAT PHARMACY INC COMMON STOCK,25456K101,39847,865477
HJ01,DRIL QUIP INC COMMON STOCK USD.01,'262037104,3491,159364
HJ01,DXP ENTERPRISES INC COMMON STOCK USD.01,'233377407,9583,368562
